,listing_id,address,property_type,property_link,price_per_month,featured_property,dates_available,furnishing,letting_type,date_added,date_reduced,description,longitude,latitude,initial_scrape_date,most_recent_scrape_date,Bermondsey,Borough,Canada Water,Elephant & Castle,Elephant & Castle (Bakerloo),Elephant & Castle (Northern),London Bridge,Monument,Queens Road Peckham,Rotherhithe,South Bermondsey,Southwark,Surrey Quays,Tower Gateway,Tower Hill,Wapping
22,68966245,"Long Lane, Borough, SE1",1 bedroom flat,https://www.rightmove.co.uk//property-to-rent/property-68966245.html,"£1,517 pcm",,,,Long term,10 December 2018 (8 days ago),,"LONG LET. Set on the third floor, this one bedroom flat boasts charming accommodation including a large reception room with private balcony, a smart separate kitchen and generously-sized double bedroom with fitted storage.Archdale House is superbly located moments from London Bridge and Borough which offer both a great selection of amenities and transport links. Borough Market is also within easy reach.",-0.083218,51.498022,18/12/2018,19/12/2018,,0.5 mi,,,0.8 mi,,0.5 mi,,,,,,,,,
23,77782682,Southwark Park Road London SE16,1 bedroom flat,https://www.rightmove.co.uk//property-to-rent/property-77782682.html,"£1,365 pcm",,18/02/2019,Furnished,Long term,10 December 2018 (8 days ago),,"Nestled within a small low rise red brick development is this beautiful well presented one bedroom first floor apartment. Boasting a bright lounge with large windows and wood flooring leading to a separate contemporary fitted kitchen and appliances. The bedroom is a good size double with built in storage and the shower room is modern.A premier location within central SE16 and sits opposite the wonderful Southwark Park. Just a short walk to the River Thames and the ideal location for those looking to enjoy the trendy restaurants of nearby Bermondsey and Shad Thames. Further local delights include the Saturday food markets of Bermondsey Square and Maltby Street while transport links via Bermondsey Station and Canada Water offer easy access to the West End, City and Canary Wharf. Living centrally means you’re more likely to walk or pedal to your destination, the ever popular Boris bike available nearby.Further benefits include wood flooring, immaculate décor, double glazing and gas central heating. Offered furnished and available from the 18th February 2019.Energy Efficiency Rating: C",-0.058339,51.4935,18/12/2018,19/12/2018,0.4 mi,,,,,,,,,,0.4 mi,,0.5 mi,,,
24,68956816,"Tissington Court, London, SE16",1 bedroom flat,https://www.rightmove.co.uk//property-to-rent/property-68956816.html,"£1,400 pcm",,01/01/2019,"Furnished or unfurnished, landlord is flexible",Long term,10 December 2018 (8 days ago),,"Property Reference: 480454.PropertyNewly refurbished throughout apartment on the 12th floor of Tissington Court.One stylish double bedroom with fitted wardrobe.High spec kitchen with appliances and balcony.Luxurious bathroom suite and mirrored wall.Spacious living room private balcony for beautiful panoramic views.Southwest facing - allows maximum natural sunlight into the apartment.Faces away from the main road.Double glazed throughout.Central heating and unlimited hot water.Loads of storage space.Can be provided furnished or unfurnishedTransport7 minutes walk to Surrey Quays overground10 minutes walk to Canada Water underground (jubilee line) or take bus from outsideBus stop outside for Elephant & Castle, Peckham, WaterlooLocal Area2 minutes walk to Southwark Park and Sports complex7 minutes walk to Surrey Quays shopping centre and Odeon cinema complexOnly 0.9 miles to the river!Would suit busy professionals looking for a short commute back to a stylish, high spec, furnished home.Email or call now to view. VERY IMPORTANT. Long term tenant preferred. 2 year minimum tenancy with guaranteed no rent rise for minimum of 4 years. Flexible moving in date for the right tenant.  You will be renting and dealing directly with the landlord.Summary & Exclusions:- Rent Amount: £1,400.00 per month (£323.08 per week)- Deposit / Bond: £2,000.00- 1 Bedrooms- 1 Bathrooms- Property comes furnished or unfurnished (tenant can decide)- Available to move in from 01 January, 2019- Minimum tenancy term is 24 months- Maximum number of tenants is 2- No DSS / Housing Benefit Applicants- No Students- Pets considered / by arrangement- No Smokers- Family Friendly- Bills not included- Property has parking- No Garden Access- EPC Rating: C  If calling, please quote reference: 480454  Fees:You will not be charged any admin fees.Referencing for tenants only costs £20 each, if requested by the landlord for this property. ** Contact today to book a viewing and have the landlord show you round! ** Request Details form responded to 24/7, with phone bookings available 9am-9pm, 7 days a week.",-0.049311,51.4907,18/12/2018,19/12/2018,,,0.5 mi,,,,,,,,0.3 mi,,0.2 mi,,,
25,77781056,"Old Kent Road, London",1 bedroom flat,https://www.rightmove.co.uk//property-to-rent/property-77781056.html,"£1,195 pcm",,28/12/2018,Unfurnished,,10 December 2018 (8 days ago),,One Bedroom First floor flat situated near South Bermondsey Station. Available from 28th December 2018.NoticeAll photographs are provided for guidance only.,-0.067597,51.484768,18/12/2018,19/12/2018,0.9 mi,,,,,,,,0.9 mi,,0.6 mi,,,,,
26,68955643,"Mybase, Southwark, SE1",1 bedroom flat,https://www.rightmove.co.uk//property-to-rent/property-68955643.html,"£1,690 pcm",,29/01/2019,Furnished,Long term,10 December 2018 (8 days ago),,"This bright and modern, 1 bedroom, 1 bathroom flat is located on the fourth floor of the popular MyBaSE1 development and has access to its own private balcony. The flat is offered furnished with stylish, contemporary furniture and boasts a modern design throughout.  The double bedroom and family bathroom receive plenty of light from this north facing flat.  MyBaSE1 - situated close to multiple tube stations in Southwark - provides a 24 hour concierge and an on-site convenience store & post office. The property is also only a short walk from the legendary Borough Market.",-0.0992,51.50081,18/12/2018,19/12/2018,,0.2 mi,,,0.3 mi,,,,,,,0.3 mi,,,,
27,68938264,"Empire Square South, Southwark, SE1",1 bedroom flat,https://www.rightmove.co.uk//property-to-rent/property-68938264.html,"£1,700 pcm",,Now,Furnished,,08 December 2018 (10 days ago),,"A bright and spacious one bedroom flat, set in a secure modern development with concierge service. The property is located moments from Borough & London Bridge stations, with London's main attractions on your doorstep.The flat further benefits from floor to ceiling windows and two juliet-balconies. The property comprises of a large master bedroom with built-in storage, a bathroom with a shower over the bath, a fully integrated kitchen and an open-plan reception.",-0.08933,51.50068,18/12/2018,19/12/2018,,0.2 mi,,,0.5 mi,,0.4 mi,,,,,,,,,
28,77726321,"Grange Road, London, SE1",2 bedroom apartment,https://www.rightmove.co.uk//property-to-rent/property-77726321.html,"£1,647 pcm",,,Furnished,,07 December 2018 (11 days ago),,"Madley Property present a fantastic two bedroom property close to Bermondsey Spa Gardens and the ever popular Bermondsey Street. The property comprises of two large double bedrooms, a good sized living area, separate kitchen and modern bathroom. Recently refurbished throughout with new wood flooring, high spec kitchen and bathroom this property offers views over the park and great access to public transport and local amenities, which are just moments away on Grange Road. EPC - C",-0.076167,51.494334,18/12/2018,19/12/2018,0.6 mi,0.9 mi,,,,,0.9 mi,,,,,,,,,
29,57263375,"Artesian House, Grange Road, SE1",1 bedroom flat,https://www.rightmove.co.uk//property-to-rent/property-57263375.html,"£1,560 pcm",,22/02/2019,Furnished,,06 December 2018 (12 days ago),,"Fantastic one bedroom apartment within this modern secure development situated in the heart of the Bermondsey Spa regeneration area. The apartment boast floor to ceiling windows, luxury fitted kitchen, modern bathroom, balcony and wooden floors. Artesian House also benefits from lift access an is ideally located for all the bars, restaurants and shops within Bermondsey Street and London Bridge. This development has been given an 'EcoHomes' rating in recognition of the many measures which have been taken to lower the impact of the Building on the environment and to provide energy efficient homes that will mean lower fuel bills for residents.",-0.074595,51.494038,18/12/2018,19/12/2018,0.5 mi,1.0 mi,,,,,0.9 mi,,,,,,,,,
30,51118391,"Southwark Bridge Road, SE1",1 bedroom flat,https://www.rightmove.co.uk//property-to-rent/property-51118391.html,"£1,733 pcm",,Now,Furnished,,,06 December 2018 (12 days ago),"An individually designed apartment with  stylish interiors offering bright contemporary accommodation is ideal for someone looking to rent in desirable SE1. The property boasts a large reception room, high ceilings, hardwood floors, sash windows and an open plan contemporary kitchen. Located on Southwark Bridge Road this property is just moments from the many shops, restaurants and amenities of Borough High Street, London Bridge and fashionable Southbank.",-0.098212,51.501168,18/12/2018,19/12/2018,,0.2 mi,,,0.4 mi,,,,,,,0.4 mi,,,,
31,68911408,Tantallon House,1 bedroom apartment,https://www.rightmove.co.uk//property-to-rent/property-68911408.html,"£1,690 pcm",,20/12/2018,Furnished,,,,"Get the best of both worlds with this 4th floor one bedroom apartment which enjoys views over the Residents' Garden. The spacious living area opens on to a large balcony, allows you to take full advantage of fantastic views over South London. The bedroom enjoys a built-in wardrobe, and shares the great views enjoyed through the rest of the flat, whilst the living area contains kitchen, dining and lounge spaces. The bathroom is accessed from the living space and all rooms benefit from high quality fittings and unique bespoke furniture.This home is part of our Signature Collection; featuring thoughtfully designed spaces, the perfect canvas for you to add your own style and make your own.Available 05/01/2019",-0.098224,51.494352,18/12/2018,19/12/2018,,,,0.2 mi,0.2 mi,0.2 mi,,,,,,,,,,
32,77702183,"Bridge View Court, Southwark",1 bedroom apartment,https://www.rightmove.co.uk//property-to-rent/property-77702183.html,"£1,695 pcm",,05/01/2019,Furnished,Long term,06 December 2018 (12 days ago),,"LONG LET  Available from 5th January. Airsorted Lets are proud to present this spacious one-bed located near London Bridge.The flat comprises of a modern kitchen, a living room full of natural light, a contemporary bathroom and a generous master bedroom.The property is situated on a quiet street near London Bridge, in the heart of South London, yet surrounded by nearby bars and restaurants. The nearest transport is provided by London Bridge (Northern and Jubilee lines).",-0.080558,51.496114,18/12/2018,19/12/2018,0.7 mi,0.7 mi,,,,,0.7 mi,,,,,,,,,
33,77701745,"Milestone House, Old Kent Road",2 bedroom flat,https://www.rightmove.co.uk//property-to-rent/property-77701745.html,"£1,575 pcm",,08/01/2019,,,06 December 2018 (12 days ago),,"*L&Q; ARE NOW OFFERING NO LETTING FEES ACROSS ALL PROPERTIES*L&Q; offer you a fantastic opportunity to rent a selection of plush two bedroom apartments situated on one of London's most historic streets in SE1, which is conveniently surrounded by local supermarkets, bars and restaurants with excellent transport links nearby to get you into the heart of the city in less than 30 minutes.  The apartments are split over two levels and consists of a large open plan reception room/kitchen with high end integrated appliances, a modern three-piece family bathroom suite, some with separate w/c's, two good sized double bedrooms and access to two private balconies. Inside the development you will also have access to a communal courtyard with a children's play area and secure push bike storage.*Move “Fee Free” - when renting through L&Q;, you will not pay any referencing fees, check in fees or administration fees. There are also no renewal fees that apply to our tenancies. Rent “Fee Free” through L&Q; today. One month’s rent and six weeks deposit is all you will pay. Your holding deposit will be deducted from your six week deposit.* Call our lettings team today on 0208 853 6937",-0.071634,51.48575,18/12/2018,19/12/2018,0.9 mi,,,,,,,,1.0 mi,,0.8 mi,,,,,
34,68906152,"Tower Bridge Road, London",1 bedroom flat,https://www.rightmove.co.uk//property-to-rent/property-68906152.html,"£1,300 pcm",,Now,,,06 December 2018 (12 days ago),,"Ready to rent! This one bedroom apartment above a long-established carpet shop is in a Victorian terrace just a short walk from Bermondsey Street. It is presented unfurnished, in good decorative order and has a nice laminate floor. The kitchen is a great size and has a sash window overlooking the surrounding buildings at the rear. The block comprises just five apartments and has nice carpeted common parts. Living here, you are so close to the pavement cafes, restaurants and shops of Bermondsey Street but you don't have to pay a Bermondsey Street rent! London Bridge station is about a ten minute walk to the north whilst equidistant to the west is Elephant and Castle; an area that has been transformed in recent years with green spaces and a policy to promote artisan businesses.",-0.083866,51.495515,18/12/2018,19/12/2018,,0.6 mi,,0.7 mi,,,0.7 mi,,,,,,,,,
35,58613697,"Chaucer Drive, London, SE1",2 bedroom apartment,https://www.rightmove.co.uk//property-to-rent/property-58613697.html,"£1,387 pcm",,,Furnished,,,05 December 2018 (13 days ago),"Two bedroom one bathroom flat in Bermondsey,  a great choice for a couple or two sharers!!This property is available soon at a bargain rent and within easy commute of the city or West End. Early viewing recommended! Stock is going quickly! Our Ref: CTL181024",-0.074076,51.489264,18/12/2018,19/12/2018,0.7 mi,,,,,,,,,,0.9 mi,,1.2 mi,,,
36,58613694,"Chaucer Drive, London, SE1",2 bedroom apartment,https://www.rightmove.co.uk//property-to-rent/property-58613694.html,"£1,499 pcm",,,Furnished,,05 December 2018 (13 days ago),,"Spacious and completely refurbished this two bedroom flat is a great choice for a couple or two sharers!! Wooden floors throughout, brand new bathroom, kitchen in immaculate condition and very bright reception room with great City views! Our Ref: CTL181023",-0.074275,51.489572,18/12/2018,19/12/2018,0.7 mi,,,,,,,,,,0.9 mi,,1.2 mi,,,
37,77677910,Alscot Road London SE1,1 bedroom flat,https://www.rightmove.co.uk//property-to-rent/property-77677910.html,"£1,690 pcm",,10/01/2019,Furnished,Long term,05 December 2018 (13 days ago),,"Set within the iconic Artesian Building offering delightful park views is this exceptional one bedroom apartment. The impressive 18ft open plan lounge provides ample space to relax and entertain, while the modern fully fitted kitchen is immaculately finished with white high gloss cabinets and a solid wood work surface. A balcony accessed from the lounge serves up stunning views across Spa park out towards the Shard and city beyond. The bedroom is decent in size and boasts a floor to ceiling window with ample storage to the hallway and a luxury fitted bathroom suite. The Artesian Building is an award winning development of some renown. Centrally located within SE1 you are ideally placed to enjoy the delights of nearby Bermondsey Street, Shad Thames and Borough. Other local attractions of note include the food markets of Bermondsey square and Maltby Street, 'The Shard of Glass' building and of course The South Bank.Transport links are plentiful with both London Bridge (Jubilee, Northern and National Rail) and Bermondsey (Jubilee) station offering easy access to The City, Canary Wharf and West End. The locally renowned number 1 bus is literally on your doorstep and takes you to Tottenham Court Road via Elephant and Waterloo. Offered furnished and available 10th January 2019.Energy Efficiency Rating B",-0.074595,51.494038,18/12/2018,19/12/2018,0.5 mi,1.0 mi,,,,,0.9 mi,,,,,,,,,
